Nested Sampling Global Log-Evidence           :   -0.100496129120226655E+03  +/-    0.141725287043098086E+00
Nested Importance Sampling Global Log-Evidence:   -0.999848229970646827E+02  +/-    0.762489406542924408E+00

Dim No.       Mean        Sigma
   1   -0.181889557200172414E+00    0.637958590709300413E-02
   2   -0.524145508728832588E+00    0.147338288835721021E+01
   3   -0.451194008160751447E+00    0.147804322222458739E+01
   4    0.512041609784785190E+00    0.476633920105577424E+00
   5    0.154027039704170033E+04    0.778749089170145226E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.181625857227466270E+00
   2   -0.190466737299756250E+01
   3    0.129268287651995983E+01
   4    0.980752387539816417E+00
   5    0.160026854582289502E+04

MAP Parameters
Dim No.        Parameter
   1   -0.181625857227466270E+00
   2   -0.190466737299756250E+01
   3    0.129268287651995983E+01
   4    0.980752387539816417E+00
   5    0.160026854582289502E+04
