#comment line
1
486849.99999999994
0.2 1.5312230224618455e+21
0.205 1.5312230224618455e+21
0.21 3.582978548319501e+21
0.215 3.4194379093112935e+21
0.22 4.50547167065704e+21
0.225 6.55904239937558e+21
0.23 9.984351447689147e+21
0.235 9.954709226847946e+21
0.24 2.2084787041082486e+22
0.245 4.8693293757764966e+22
0.25 1.8922747622563212e+22
0.255 6.446872954623316e+22
0.26 8.942937143611321e+22
0.265 1.1805238881740742e+23
0.27 1.650792582084685e+23
0.275 1.6999904742977524e+23
0.28 1.9278069267574597e+23
0.285 2.714282578440632e+23
0.29 1.2853351776864074e+24
0.295 7.476234209546341e+23
0.3 1.757188656425408e+24
0.305 2.488168811364357e+24
0.31 3.012528391111625e+24
0.315 4.5164804303766235e+24
0.32 1.00159474823788e+25
0.325 8.848864649345036e+24
0.33 6.703550287102844e+24
0.335 3.340945608503442e+24
0.34 2.1698812709663867e+24
0.345 7.390007366684097e+24
0.35 2.234064216933883e+24
0.355 1.3388117771307677e+25
0.36 2.1513765982544225e+24
0.365 5.104862678348545e+24
0.37 1.6742238045524824e+25
0.375 3.8423827323323546e+24
0.38 4.461664963124386e+24
0.385 4.7554492970821715e+24
0.39 7.158663905695388e+24
0.395 6.565006200266439e+24
0.4 1.3045068768147854e+25
0.405 1.8050268975929272e+25
0.41 1.957896211074522e+25
0.415 3.7087768338100298e+25
0.42 3.2356316610886327e+25
0.425 2.8435163537969996e+25
0.43 3.0811540599714473e+25
0.435 1.9113412981898215e+25
0.44 3.025892068037595e+25
0.445 3.3855406670330408e+25
0.45 4.522209591399739e+25
0.455 2.323296042197445e+25
0.46 4.953272304912924e+25
0.465 4.4630554569683535e+25
0.47 6.631403253744188e+25
0.475 6.019927082881754e+25
0.48 6.3730306297340176e+25
0.485 4.525595701209821e+25
0.49 6.100636724954206e+25
0.495 5.236922591231739e+25
0.5 4.868979415373822e+25
0.505 6.229651162190944e+25
0.51 4.5622801163065215e+25
0.515 5.372697745472294e+25
0.52 5.132430362524841e+25
0.525 5.1709982253566585e+25
0.53 6.393446208618958e+25
0.535 5.536209549447249e+25
0.54 5.696894798073258e+25
0.545 6.3701718965923986e+25
0.55 6.8357946324396875e+25
0.555 6.437732489735883e+25
0.56 6.2981550033259055e+25
0.565 6.38049429575817e+25
0.57 6.736693534634512e+25
0.575 7.231250114043672e+25
0.58 6.716278760132846e+25
0.585 6.512320672012322e+25
0.59 7.630998890510021e+25
0.595 6.9183363008750305e+25
0.6 7.219910083500337e+25
0.605 7.300254520536003e+25
0.61 7.649957452597945e+25
0.615 4.982213537994256e+25
0.62 7.013588949922441e+25
0.625 4.9385147026218135e+25
0.63 6.341294134175553e+25
0.635 6.806329691622142e+25
0.64 6.340039438246907e+25
0.645 6.478641711935598e+25
0.65 6.511649569937647e+25
0.655 6.845495549668579e+25
0.66 6.769726733896539e+25
0.665 7.195964015653142e+25
0.67 7.158002275274416e+25
0.675 6.929226013930244e+25
0.68 6.92683771319107e+25
0.685 6.694627674538709e+25
0.69 6.627983798034723e+25
0.695 6.574405206953976e+25
0.7 5.817864099124226e+25
0.705 6.372783473419669e+25
0.71 6.204534737872437e+25
0.715 6.221523124849227e+25
0.72 5.813114050978377e+25
0.725 6.18125398584639e+25
0.73 6.0303325453838355e+25
0.735 5.3510136214824546e+25
0.74 5.752855854863026e+25
0.745 6.5672484263468186e+25
0.75 5.319268387852193e+25
0.755 6.545619968630904e+25
0.76 6.428383122411482e+25
0.765 6.3275150826018964e+25
0.77 6.121895381383943e+25
0.775 6.402828730542066e+25
0.78 6.365408105274209e+25
0.785 6.331261626442525e+25
0.79 6.0383093339290615e+25
0.795 5.382744963095993e+25
0.8 6.102259935901152e+25
0.805 5.894778551844339e+25
0.81 5.418070685059422e+25
0.815 5.420640429337086e+25
0.82 5.21200571098702e+25
0.825 5.918885055546824e+25
0.83 5.5610540311129015e+25
0.835 5.54609775180326e+25
0.84 5.4650176971196146e+25
0.845 5.766086369088039e+25
0.85 4.630776347987096e+25
0.855 5.215442745125861e+25
0.86 5.576881906321659e+25
0.865 4.8039797410549e+25
0.87 5.316024946148124e+25
0.875 4.985554477550389e+25
0.88 5.349275408239765e+25
0.885 5.477638982740236e+25
0.89 5.3868903376876025e+25
0.895 5.2747580803850715e+25
0.9 5.353432258010514e+25
0.905 5.127450213416867e+25
0.91 4.823172485188266e+25
0.915 4.8026057868441824e+25
0.92 4.782830494496118e+25
0.925 4.528123938621962e+25
0.93 4.3493959888709145e+25
0.935 5.018492103405141e+25
0.94 4.624433321416292e+25
0.945 4.6891450394310455e+25
0.95 4.220007346350271e+25
0.955 4.553043495699492e+25
0.96 4.405088081081792e+25
0.965 4.452489707076419e+25
0.97 4.688961798509309e+25
0.975 4.20640099862614e+25
0.98 4.626324011382322e+25
0.985 4.41294279183189e+25
0.99 4.396956817339649e+25
0.995 4.514335142890954e+25
1.0 4.004130949809002e+25
1.005 4.444480748540361e+25
1.01 4.446969196423223e+25
1.015 4.098505688706683e+25
1.02 4.351041364811419e+25
1.025 4.423624976724544e+25
1.03 4.368547155141915e+25
1.035 3.98828535254871e+25
1.04 4.198027273886245e+25
1.045 4.148700465204168e+25
1.05 4.2331186793702e+25
1.055 4.2495620922470665e+25
1.06 3.94327477178224e+25
1.065 4.044607379454581e+25
1.07 3.6504446544149604e+25
1.075 3.533130634635092e+25
1.08 4.0851174785755076e+25
1.085 4.033841015265722e+25
1.09 3.991930730486748e+25
1.095 3.8588258220520256e+25
1.1 3.5165780468452725e+25
1.105 3.1585840659204154e+25
1.11 3.5179450601347863e+25
1.115 3.698554420971646e+25
1.12 3.7758683373605938e+25
1.125 3.582238939463112e+25
1.13 3.7402971507671707e+25
1.135 3.6014105158422435e+25
1.14 3.0686441793149735e+25
1.145 3.4091090839091975e+25
1.15 3.2978795246479955e+25
1.155 3.617928891343555e+25
1.16 2.8006367566170896e+25
1.165 3.389799458873377e+25
1.17 3.4648596408295476e+25
1.175 3.2159287353009907e+25
1.18 2.806638929053957e+25
1.185 3.417289925319967e+25
1.19 3.383448552523204e+25
1.195 3.4530754623214945e+25
1.2 2.9000744923803795e+25
1.205 3.0356304368456117e+25
1.21 3.3649451430217743e+25
1.215 3.3351280880484616e+25
1.22 3.2138958465193416e+25
1.225 3.0733170362611464e+25
1.23 3.1437946420713783e+25
1.235 3.18843614277399e+25
1.24 3.1133640866293063e+25
1.245 3.171147633908899e+25
1.25 3.0836448648765565e+25
1.255 3.0094449238673947e+25
1.26 3.1577260747561532e+25
1.265 3.1836250732165893e+25
1.27 3.159360174095486e+25
1.275 3.094488219650827e+25
1.28 3.0458926746520383e+25
1.285 2.725295236893965e+25
1.29 2.9391354163266586e+25
1.295 3.0510981864047546e+25
1.3 2.9773871971584416e+25
1.305 2.941622167660866e+25
1.31 3.0103014677412607e+25
1.315 2.9542099431709315e+25
1.32 2.8934243288086668e+25
1.325 2.9665329287369812e+25
1.33 2.7770714666013627e+25
1.335 2.9490699889977077e+25
1.34 2.8105052284951556e+25
1.345 2.8491984419695576e+25
1.35 2.8990085403810888e+25
1.355 2.841380421811605e+25
1.36 2.8672436878351834e+25
1.365 2.8363020567249996e+25
1.37 2.8270536095589798e+25
1.375 2.751545907502772e+25
1.38 2.796212024401461e+25
1.385 2.7809604003592498e+25
1.39 2.76264057518131e+25
1.395 2.7482429148650306e+25
1.4 2.6732750326877977e+25
1.405 2.5770411081207356e+25
1.41 2.593725102417831e+25
1.415 2.4947643491361374e+25
1.42 2.6364831668239632e+25
1.425 2.3096269117429234e+25
1.43 2.5318198940557703e+25
1.435 2.389105753109982e+25
1.44 2.447515005910676e+25
1.445 2.4818125120233636e+25
1.45 2.3595951481692455e+25
1.455 2.3034657859357945e+25
1.46 2.4211209954897767e+25
1.465 2.405267303200902e+25
1.47 2.461157870895912e+25
1.475 2.489863706462582e+25
1.48 2.522866117783105e+25
1.485 2.3405692670677796e+25
1.49 2.3027703476784983e+25
1.495 2.527203788359598e+25
1.5 2.3813663821835795e+25
1.505 2.097066665932414e+25
1.51 2.322145249177581e+25
1.515 2.285786044624886e+25
1.52 2.150287475454328e+25
1.525 2.2786498103305745e+25
1.53 2.325797446019631e+25
1.535 2.44855914424266e+25
1.54 2.262967064175803e+25
1.545 2.299219891113743e+25
1.55 2.1855593035747947e+25
1.555 2.1824466949654487e+25
1.56 2.212771207596187e+25
1.565 2.4063955733013795e+25
1.57 2.335984770707958e+25
1.575 2.227257908661652e+25
1.58 2.117294275577209e+25
1.585 2.0471561250650636e+25
1.59 1.9647444669780883e+25
1.595 2.341818614092613e+25
1.6 2.187840268388451e+25
1.605 2.233247847610987e+25
