Nested Sampling Global Log-Evidence           :   -0.602841434600581749E+01  +/-    0.122764147311071825E+00
Nested Importance Sampling Global Log-Evidence:    0.212449713861198704-313  +/-    0.694505401736823135-309

Dim No.       Mean        Sigma
   1    0.134094352722167987E+01    0.481043370011028482E+00
   2    0.131400585174560547E+00    0.578801142915408517E+00
   3    0.554421981175740597E-01    0.521457630675211226E+00
   4   -0.124417320887247718E+00    0.660406140041328582E+00
   5    0.528576294581095327E-01    0.591488879720672323E+00
   6   -0.104765828450520848E+01    0.135784651766142250E+01
   7    0.179102921485900846E+00    0.504050533962966507E+00
   8    0.220385368665059422E+00    0.474870218982097914E+00
   9   -0.110804303487141945E+00    0.475995340190488836E+00
  10   -0.535782972971598354E-01    0.477800060179289388E+00
  11   -0.657785367965698198E+00    0.129720064357863940E+01
  12    0.762737671534220035E-01    0.508273185078898626E+00
  13   -0.284472091992696074E+00    0.622906798843704812E+00
  14    0.117280475298563641E+00    0.573983185323485134E+00
  15    0.616130987803141239E-01    0.639405996934010679E+00
  16    0.376903149286905981E+01    0.156981849033059284E+00
  17   -0.156563893953959171E+00    0.623570684601524761E+00
  18    0.161144892374674234E-01    0.785793261934017995E+00
  19    0.983595371246338002E-01    0.706673817425762518E+00
  20    0.329053004582723074E-01    0.757697675758842282E+00
  21   -0.468656196594238317E+01    0.185539878931719326E+01
  22   -0.488232707977294922E+01    0.157166657088204587E+01
  23   -0.462666482925415057E+01    0.166905117380743073E+01
  24   -0.545819413661956787E+01    0.171599496747945701E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.119714736938476562E-01
   2    0.357697963714599609E+00
   3    0.325654745101928711E-01
   4    0.965547561645507812E+00
   5    0.724668741226196289E+00
   6   -0.253238612413406372E+01
   7   -0.746516108512878418E+00
   8    0.818990945816040039E+00
   9   -0.752342462539672852E+00
  10   -0.250949978828430176E+00
  11    0.290378808975219727E+00
  12    0.527891159057617188E+00
  13    0.742797732353210449E+00
  14    0.585205316543579102E+00
  15    0.827285647392272949E+00
  16    0.387763941287994385E+01
  17   -0.852056384086608887E+00
  18    0.973493933677673340E+00
  19   -0.880787253379821777E+00
  20    0.810106754302978516E+00
  21   -0.706995725631713867E+01
  22   -0.403916335105895996E+01
  23   -0.745399057865142822E+01
  24   -0.503137791156768799E+01

MAP Parameters
Dim No.        Parameter
   1    0.157140588760375977E+01
   2    0.852139711380004883E+00
   3    0.390779018402099609E+00
   4   -0.809156417846679688E+00
   5    0.633708000183105469E+00
   6   -0.142094069719314575E+01
   7    0.459468722343444824E+00
   8    0.839665651321411133E+00
   9   -0.749689936637878418E+00
  10   -0.952248573303222656E-01
  11   -0.150372815132141113E+01
  12    0.208572506904602051E+00
  13   -0.961211085319519043E+00
  14   -0.811558365821838379E+00
  15   -0.958381056785583496E+00
  16    0.347551989555358887E+01
  17   -0.770164728164672852E+00
  18    0.792627453804016113E+00
  19   -0.930016875267028809E+00
  20    0.980344772338867188E+00
  21   -0.656048882007598877E+01
  22   -0.547132778167724609E+01
  23   -0.465096199512481689E+01
  24   -0.751079618930816650E+01
