Nested Sampling Global Log-Evidence           :   -0.106800000000001685E+02  +/-    0.163401346383683199E+00
Nested Importance Sampling Global Log-Evidence:   -0.168049140496690512E+02  +/-    0.402058221103668234E+00

Dim No.       Mean        Sigma
   1    0.110002120395950254E+01    0.542129750529136367E+00
   2    0.100005545945111657E+00    0.506019637111216003E+00
   3   -0.321621342206004968E+00    0.398976361102512611E+00
   4   -0.497656035530973540E+00    0.335811479903145471E+00
   5   -0.379240059675100272E+00    0.398393296802784791E+00
   6   -0.116629977648855609E+01    0.111101542581686941E+01
   7   -0.192132275553709791E+00    0.473686069112328134E+00
   8   -0.766389920745138564E-01    0.494621852223641134E+00
   9   -0.216633898897642757E+00    0.455389649220020842E+00
  10   -0.143414975320779736E+00    0.494596279828334484E+00
  11   -0.616167609438376743E-01    0.578101347575621483E+00
  12   -0.298152156269369424E-01    0.490700658652472865E+00
  13    0.165479885223056733E+00    0.436439600092173474E+00
  14    0.120677611992518724E+00    0.391155321965688973E+00
  15    0.204935786181259377E+00    0.433780849077435138E+00
  16    0.378729958346487505E+01    0.146611679072478740E+00
  17    0.683050807217711498E+00    0.229020447557682971E+00
  18   -0.504040645413906696E+00    0.349976355600136235E+00
  19   -0.775975745567563768E+00    0.162625086933530616E+00
  20   -0.737980821622476468E+00    0.174533071182144423E+00
  21   -0.508138866472201212E+01    0.149065709250247269E+01
  22   -0.406375293080669397E+01    0.123786710447750448E+01
  23   -0.522164804970179652E+01    0.145045315561770849E+01
  24   -0.493043803895287702E+01    0.145325856860939018E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.581337094306945801E+00
   2    0.153135657310485840E+00
   3    0.101147174835205078E+00
   4   -0.638878822326660156E+00
   5   -0.262761473655700684E+00
   6    0.705531299114227295E+00
   7   -0.992801189422607422E+00
   8   -0.530628919601440430E+00
   9   -0.980250477790832520E+00
  10   -0.563956022262573242E+00
  11    0.812816619873046875E-02
  12   -0.932456493377685547E+00
  13   -0.568014621734619141E+00
  14    0.671885013580322266E+00
  15    0.192189693450927734E+00
  16    0.344262564182281494E+01
  17    0.439436197280883789E+00
  18   -0.856289505958557129E+00
  19   -0.931792736053466797E+00
  20   -0.856616616249084473E+00
  21   -0.556042253971099854E+01
  22   -0.231667017936706543E+01
  23   -0.415462493896484375E+01
  24   -0.622034573554992676E+01

MAP Parameters
Dim No.        Parameter
   1    0.167811918258666992E+01
   2    0.920261383056640625E+00
   3   -0.617860794067382812E+00
   4   -0.761122345924377441E+00
   5   -0.861144304275512695E+00
   6   -0.240811699628829956E+01
   7   -0.298675298690795898E+00
   8   -0.254097342491149902E+00
   9    0.114925146102905273E+00
  10   -0.136343836784362793E+00
  11    0.451431274414062500E-01
  12    0.845235586166381836E+00
  13    0.338301658630371094E+00
  14   -0.465425372123718262E+00
  15    0.902049422264099121E+00
  16    0.394942975044250488E+01
  17    0.967742204666137695E+00
  18   -0.389287471771240234E-01
  19   -0.654675006866455078E+00
  20   -0.657006978988647461E+00
  21   -0.770350146293640137E+01
  22   -0.416374838352203369E+01
  23   -0.491410636901855469E+01
  24   -0.436776292324066162E+01
